Simulation Log Export
Generated: 2026-04-24T14:01:13
Rows: 2035

t_s	x_m	z_m	vx	vz	mach	miss_distance_m	rcs_dbsm	guidance_phase
0.61	-19473.000009768246	4.5391977922555435	849.9999563632103	-0.8695823028298946	2.4978706431895974	19473.000538816577	9.006033145870452	cruise
0.62	-19464.500010209333	4.529517316939752	849.999955345137	-1.0665127602040412	2.4978712992824676	19464.500537233576	9.007805069763378	cruise
0.63	-19456.00001066132	4.519861689344134	849.9999543347014	-0.8646127590471113	2.497870622330888	19456.000535670297	9.005994537540232	cruise
0.64	-19447.50001112261	4.510237617362812	849.9999533335306	-1.0602016370954892	2.497871270169454	19447.500534126677	9.007754400579909	cruise
0.65	-19439.000011594617	4.5006451009981285	849.9999523413909	-0.8583016359667691	2.497870597676923	19439.000532604085	9.00594384114228	cruise
0.66	-19430.500012075747	4.491090338937112	849.999951359874	-1.052650776117287	2.4978712367912506	19430.500531102334	9.007692554605622	cruise
0.67	-19422.000012567383	4.481573331182039	849.9999503886357	-0.8507507750208545	2.4978705696307872	19422.000529622765	9.005881961335499	cruise
0.68	-19413.500013067936	4.472099793360253	849.9999494292298	-1.043956789220103	2.4978711996085035	19413.500528165066	9.007620389752724	cruise
0.6900000000000001	-19405.00001357876	4.462669725473961	849.9999484812084	-0.8420567881594444	2.4978705385848365	19405.000526730546	9.005809756523451	cruise
0.7000000000000001	-19396.50001409827	4.4532883851286575	849.9999475460852	-1.034211280788054	2.4978711590649985	19396.500525318777	9.007538719666044	cruise
0.71	-19388.000014627793	4.443955772326478	849.999946623316	-0.8323112797660832	2.4978705049180907	19388.000523931038	9.005728040815548	cruise
0.72	-19379.50001516576	4.434676710620014	849.9999457143733	-1.02350106141676	2.497871115585745	19379.500522566806	9.007448315606652	cruise
0.73	-19371.00001571346	4.425451200011328	849.9999448186234	-0.8216010604358435	2.4978704689941766	19371.00052122732	9.005637585919178	cruise
0.74	-19362.50001626934	4.416283652939566	849.9999439374972	-1.011908353809962	2.497871069575546	19362.500519911973	9.007349908282002	cruise
0.75	-19354.000016834663	4.407174069406718	849.9999430702777	-0.8100083528719491	2.4978704311597526	19354.000518621968	9.005539122963706	cruise
0.76	-19345.500017407885	4.398126472686622	849.9999422183549	-0.9995109910441659	2.4978710214179727	19345.500517356613	9.007244189585972	cruise
0.77	-19337.000017990245	4.389140862781193	849.9999413809351	-0.7976109901504211	2.4978703917433482	19337.00051611708	9.005433344246354	cruise
